Aglomeración;SC Función ciudades;Departamento;Municipio;Divipola;AÑO;Personas;Hectareas;,,
Fuera SC;Fuera SC;47;San Zenon;47703;2018;9178;8087,46952;,
Fuera SC;Fuera SC;47;Santa Ana;47707;2018;26923;6998,870287;,
Fuera SC;Fuera SC;47;Santa Barbara de Pinto;47720;2018;13103;25485,5269;,
A-Barranquilla;En aglomeracion;47;Sitionuevo;47745;2018;32801;73435,09382;,
Fuera SC;Fuera SC;47;Tenerife;47798;2018;12214;7124,886303;,
Fuera SC;Fuera SC;47;Zapayan;47960;2018;8907;2179,248437;,
Fuera SC;Fuera SC;47;Zona Bananera;47980;2018;61829;1311,889341;,
A-Villavicencio;Centro aglomeracion;50;Villavicencio;50001;2018;516831;27409,53692;,
Fuera SC;Fuera SC;50;Acacias;50006;2018;73640;46135,82351;,
Fuera SC;Fuera SC;50;Barranca de Upia;50110;2018;4180;5949,221622;,
Fuera SC;Fuera SC;50;Cabuyaro;50124;2018;4108;14443,18892;,
Fuera SC;Fuera SC;50;Castilla la Nueva;50150;2018;10494;6470,76062;,
Fuera SC;Fuera SC;50;Cubarral;50223;2018;6188;97978,4042;,
Fuera SC;Fuera SC;50;Cumaral;50226;2018;18395;5690,217648;,
Fuera SC;Fuera SC;50;El Calvario;50245;2018;2222;19221,34035;,
Fuera SC;Fuera SC;50;El Castillo;50251;2018;6184;19263,57008;,
Fuera SC;Fuera SC;50;El Dorado;50270;2018;3451;2580,383058;,
Fuera SC;Fuera SC;50;Fuente de Oro;50287;2018;13919;5694,983876;,
Fuera SC;Fuera SC;50;Granada;50313;2018;65952;2464,631118;,
Fuera SC;Fuera SC;50;Guamal;50318;2018;9477;45794,07223;,
Fuera SC;Fuera SC;50;Mapiripan;50325;2018;18532;625215,1553;,
Fuera SC;Fuera SC;50;Mesetas;50330;2018;11481;153500,4355;,
Fuera SC;Fuera SC;50;La Macarena;50350;2018;35766;556003,3675;,
Fuera SC;Fuera SC;50;Uribe;50370;2018;17329;551225,6964;,
Fuera SC;Fuera SC;50;Lejanias;50400;2018;9303;57270,872;,
Fuera SC;Fuera SC;50;Puerto Concordia;50450;2018;22559;47089,28346;,
Fuera SC;Fuera SC;50;Puerto Gaitan;50568;2018;18903;297526,5422;,
Fuera SC;Fuera SC;50;Puerto Lopez;50573;2018;34696;117470,8697;,
Fuera SC;Fuera SC;50;Puerto Lleras;50577;2018;9491;61175,81819;,
Fuera SC;Fuera SC;50;Puerto Rico;50590;2018;18870;218494,8968;,
A-Villavicencio;En aglomeracion;50;Restrepo;50606;2018;10686;10735,86691;,
Fuera SC;Fuera SC;50;San Carlos de Guaroa;50680;2018;10680;9776,645033;,
Fuera SC;Fuera SC;50;San Juan de Arama;50683;2018;8728;28122,37566;,
Fuera SC;Fuera SC;50;San Juanito;50686;2018;2241;19438,17215;,
Fuera SC;Fuera SC;50;San Martin;50689;2018;25605;85517,76499;,
Fuera SC;Fuera SC;50;Vistahermosa;50711;2018;26790;335410,3629;,
A-Pasto;Centro aglomeracion;52;Pasto;52001;2018;455678;78515,84963;,
Fuera SC;Fuera SC;52;Alban;52019;2018;22999;17,247813;,
Fuera SC;Fuera SC;52;Aldana;52022;2018;5855;150,90944;,
Fuera SC;Fuera SC;52;Ancuya;52036;2018;6572;287,366812;,
Fuera SC;Fuera SC;52;Arboleda;52051;2018;7573;124,334945;,
Fuera SC;Fuera SC;52;Barbacoas;52079;2018;40429;241495,8834;,
Fuera SC;Fuera SC;52;Belen;52083;2018;7801;218,188254;,
Fuera SC;Fuera SC;52;Buesaco;52110;2018;25947;24849,26788;,
Fuera SC;Fuera SC;52;Colon;52203;2018;10238;133,48626;,
Fuera SC;Fuera SC;52;Consaca;52207;2018;9099;5854,940046;,
Fuera SC;Fuera SC;52;Contadero;52210;2018;7035;530,218992;,
Fuera SC;Fuera SC;52;23;52215;2018;14091;22112,52512;,
Fuera SC;Fuera SC;52;Cuaspud;52224;2018;8727;71,94476;,
Fuera SC;Fuera SC;52;Cumbal;52227;2018;39791;75597,61282;,
Fuera SC;Fuera SC;52;Cumbitara;52233;2018;16598;13525,00235;,
Fuera SC;Fuera SC;52;Chachagüi;52240;2018;14045;1512,078449;,
